,class
5990,normal
57369,anomaly
38998,normal
54109,anomaly
66397,normal
35654,normal
45304,anomaly
78361,normal
8606,normal
17151,normal
93788,anomaly
64074,anomaly
66692,normal
18957,anomaly
45670,normal
91183,normal
61033,normal
48562,anomaly
124893,anomaly
52760,anomaly
4982,normal
69707,anomaly
87033,normal
19219,anomaly
2613,normal
13066,anomaly
119165,anomaly
78044,normal
109707,normal
71532,anomaly
63897,normal
62467,anomaly
26920,anomaly
87836,anomaly
119045,normal
29173,normal
54007,anomaly
36761,normal
10819,normal
101738,anomaly
61763,normal
112310,anomaly
10013,anomaly
94591,anomaly
20083,normal
16202,normal
80902,normal
117615,normal
60391,anomaly
613,normal
83896,normal
9332,normal
102325,anomaly
28025,normal
89056,anomaly
11329,normal
26901,normal
82820,normal
58467,normal
30978,normal
26636,normal
67011,anomaly
5876,normal
57991,normal
88933,anomaly
12208,anomaly
71717,normal
86881,normal
58134,normal
87918,normal
107219,anomaly
96568,anomaly
25534,anomaly
45654,anomaly
16000,normal
75492,normal
72861,anomaly
103988,anomaly
8944,normal
90425,normal
69655,normal
73737,anomaly
36359,normal
32636,normal
108082,anomaly
25065,normal
27968,anomaly
15306,anomaly
119739,normal
22645,anomaly
35557,anomaly
81208,normal
125788,anomaly
46278,normal
70787,anomaly
85967,anomaly
45160,normal
101715,anomaly
8616,anomaly
83653,normal
67152,normal
20377,anomaly
35278,normal
17366,anomaly
17632,normal
15716,anomaly
633,normal
121857,normal
84380,anomaly
103374,anomaly
80942,normal
24666,normal
9123,normal
117441,normal
98550,anomaly
91554,normal
98855,anomaly
53737,anomaly
87196,anomaly
63552,anomaly
55952,normal
76713,anomaly
73447,normal
15421,anomaly
102975,normal
63446,normal
52718,normal
98744,normal
99204,anomaly
2410,normal
58216,normal
101991,anomaly
67033,anomaly
81334,normal
89633,anomaly
70530,normal
17577,normal
90291,normal
111326,anomaly
36257,anomaly
3316,normal
112447,normal
14714,normal
9003,anomaly
24253,normal
64918,anomaly
91924,normal
38920,normal
111374,normal
97428,anomaly
51806,normal
85009,normal
83484,normal
58193,normal
119917,normal
81042,normal
125449,normal
20387,anomaly
109262,normal
29922,anomaly
81135,anomaly
104908,normal
91744,normal
10542,normal
34820,anomaly
93158,normal
72786,anomaly
82072,anomaly
73772,anomaly
75313,normal
68506,anomaly
480,anomaly
1432,anomaly
104928,anomaly
114677,normal
61963,normal
43911,normal
120799,anomaly
112832,normal
83818,normal
26834,normal
119308,anomaly
9068,anomaly
80599,normal
109033,anomaly
111263,normal
102058,normal
20421,anomaly
36020,anomaly
87353,normal
80044,normal
71359,anomaly
57735,anomaly
34836,normal
112557,normal
81884,anomaly
81530,normal
53229,normal
98251,anomaly
51384,anomaly
73261,anomaly
99386,normal
55373,normal
58939,anomaly
14788,anomaly
88848,normal
98154,normal
47292,anomaly
75269,anomaly
48424,normal
119928,normal
8756,normal
10444,anomaly
12929,normal
36969,normal
58136,anomaly
67101,normal
98449,anomaly
45649,normal
84986,normal
109824,normal
124576,anomaly
112765,normal
13384,anomaly
45423,normal
22062,anomaly
85941,normal
45456,normal
37212,normal
65853,normal
7078,normal
9147,normal
18824,normal
92474,normal
84137,anomaly
52598,normal
112786,normal
79123,normal
79626,normal
770,anomaly
44311,normal
27497,normal
42971,anomaly
53800,anomaly
97225,anomaly
92352,anomaly
63505,normal
75654,normal
48417,anomaly
65979,anomaly
121995,normal
24646,anomaly
42822,anomaly
56660,normal
75702,normal
23900,anomaly
86607,normal
93138,anomaly
86380,normal
102130,normal
1093,anomaly
44714,anomaly
85145,normal
21131,normal
73164,normal
115916,anomaly
63159,anomaly
25204,anomaly
682,normal
99541,normal
56039,normal
96331,anomaly
25167,normal
43299,anomaly
104375,normal
25067,anomaly
53784,anomaly
52558,normal
35504,normal
20223,normal
22542,normal
120705,anomaly
79174,normal
48030,normal
74472,anomaly
90540,normal
12536,anomaly
116330,anomaly
57151,normal
48548,anomaly
90669,anomaly
67315,anomaly
25848,normal
56156,anomaly
66559,normal
25562,anomaly
13096,anomaly
11015,normal
11489,anomaly
52625,normal
53386,normal
94287,anomaly
93797,normal
71856,anomaly
63894,anomaly
32066,anomaly
64407,anomaly
57049,anomaly
17924,normal
50413,normal
19343,anomaly
115215,anomaly
17581,normal
53944,normal
17770,anomaly
59039,anomaly
19617,anomaly
55529,anomaly
113836,anomaly
76807,normal
45018,anomaly
87395,normal
26218,normal
27118,anomaly
69509,normal
70362,normal
45759,anomaly
58946,normal
40698,normal
98541,normal
3290,anomaly
103296,normal
49155,anomaly
20570,normal
122950,normal
13,anomaly
83684,anomaly
8578,anomaly
7353,normal
110242,normal
79576,normal
14350,normal
27015,normal
63607,normal
44568,normal
36146,normal
116822,anomaly
68061,normal
52226,anomaly
100780,normal
81436,normal
120922,normal
107662,anomaly
98733,normal
62159,normal
100823,anomaly
48948,anomaly
22815,normal
120065,anomaly
17072,anomaly
117314,normal
18868,normal
18181,anomaly
43015,normal
46750,normal
105196,normal
3204,normal
37666,anomaly
8040,normal
49967,anomaly
106716,anomaly
57067,anomaly
32639,normal
45245,anomaly
52420,anomaly
115449,normal
119827,normal
4732,normal
461,normal
117414,anomaly
51290,normal
75639,normal
105762,normal
47242,normal
96772,normal
23892,anomaly
112207,normal
16674,normal
59036,anomaly
48734,normal
55463,normal
39101,anomaly
70373,anomaly
28907,anomaly
18560,anomaly
123357,anomaly
72820,anomaly
24749,anomaly
96141,anomaly
66986,normal
60660,anomaly
120942,normal
101383,anomaly
44639,anomaly
108751,anomaly
79204,normal
114498,normal
30249,anomaly
59009,normal
43955,normal
121924,anomaly
49591,anomaly
66386,anomaly
50590,normal
3639,normal
68311,normal
57130,anomaly
22346,anomaly
56048,anomaly
7150,anomaly
72564,anomaly
603,anomaly
27089,normal
81990,normal
58774,normal
67558,normal
111583,normal
100052,normal
4140,normal
119442,normal
6428,normal
53696,normal
62774,anomaly
102010,normal
93670,normal
38899,anomaly
35580,normal
1104,normal
69638,normal
89378,normal
121376,anomaly
114724,anomaly
70243,normal
81963,normal
28967,normal
38321,normal
51273,normal
90004,anomaly
28301,normal
49920,anomaly
33306,normal
69869,normal
87664,anomaly
120277,anomaly
9142,normal
9757,anomaly
115568,normal
124824,normal
1596,normal
109900,normal
77083,normal
65415,normal
61719,normal
90103,normal
28932,anomaly
95754,anomaly
105128,normal
3604,normal
15319,anomaly
33653,normal
114154,normal
92765,anomaly
46536,normal
18794,anomaly
28999,normal
51942,anomaly
53971,normal
32629,anomaly
77954,normal
111515,normal
7773,anomaly
45205,normal
125321,anomaly
4202,anomaly
69578,anomaly
83924,anomaly
96448,normal
40284,anomaly
22947,normal
13874,anomaly
25808,normal
66001,normal
23361,anomaly
94721,anomaly
40519,anomaly
93716,normal
34729,normal
115145,anomaly
1508,normal
105874,anomaly
17129,normal
17886,normal
13218,anomaly
100853,anomaly
64556,anomaly
114872,anomaly
78793,normal
38881,anomaly
118022,anomaly
120908,anomaly
56067,anomaly
9270,normal
13142,anomaly
121606,anomaly
88346,anomaly
16714,anomaly
74373,anomaly
38381,anomaly
8488,anomaly
30361,anomaly
124338,anomaly
21999,anomaly
95994,anomaly
104252,normal
37411,normal
30556,normal
22298,anomaly
112843,anomaly
62658,normal
42662,anomaly
22294,normal
84531,normal
94725,normal
55012,anomaly
74395,anomaly
56364,anomaly
118478,normal
68889,anomaly
108562,normal
92130,normal
12217,anomaly
34212,anomaly
3067,anomaly
116686,anomaly
11258,normal
88544,anomaly
91339,normal
38558,anomaly
59672,anomaly
6534,normal
92350,normal
120141,normal
12057,normal
22137,normal
117846,anomaly
85746,normal
117830,normal
54113,anomaly
109949,normal
113876,normal
102459,normal
30765,normal
68915,anomaly
119607,normal
120074,anomaly
67954,normal
23738,normal
49902,anomaly
43292,anomaly
125011,anomaly
46480,normal
53615,anomaly
49724,anomaly
49918,anomaly
101493,anomaly
103019,normal
25814,anomaly
125273,normal
48834,normal
87035,anomaly
27739,anomaly
10364,normal
48362,normal
41853,anomaly
47678,normal
23203,anomaly
103167,normal
7852,anomaly
64180,normal
103974,normal
29496,normal
109158,normal
52286,anomaly
114345,normal
39735,anomaly
65496,normal
815,anomaly
29737,normal
12034,anomaly
57916,normal
9154,normal
58357,normal
27287,normal
69210,normal
3939,normal
11178,normal
111262,anomaly
124210,normal
79907,anomaly
125698,anomaly
53994,normal
92958,anomaly
125331,normal
72111,anomaly
87074,anomaly
106494,normal
69024,anomaly
125124,anomaly
93129,normal
71385,normal
109533,normal
41897,anomaly
32897,normal
123221,anomaly
52292,normal
18389,normal
47578,anomaly
94072,anomaly
6646,anomaly
263,anomaly
33246,anomaly
52962,normal
18561,anomaly
89819,anomaly
1562,normal
114874,normal
125064,normal
69226,anomaly
76210,normal
98391,normal
47054,anomaly
65370,anomaly
76076,anomaly
3133,normal
105320,normal
40691,normal
94394,normal
96637,anomaly
54609,normal
89198,anomaly
53434,normal
63636,normal
106017,anomaly
66393,anomaly
43278,anomaly
70498,normal
121323,normal
96291,normal
27980,normal
58040,normal
63144,normal
122796,normal
90949,normal
43748,anomaly
95975,normal
25194,normal
101365,normal
55078,normal
5653,normal
94694,normal
44332,normal
34000,normal
109244,normal
29443,anomaly
120258,anomaly
55697,normal
76138,anomaly
29045,anomaly
55257,anomaly
35280,normal
29501,anomaly
120229,normal
28407,normal
16518,anomaly
23999,normal
30786,anomaly
90424,normal
71270,normal
71949,anomaly
75198,anomaly
118199,normal
81918,anomaly
3341,normal
73873,anomaly
108954,normal
84374,anomaly
22680,normal
75162,anomaly
4963,normal
45275,anomaly
27947,normal
40399,anomaly
84569,normal
97942,normal
125695,anomaly
48916,anomaly
10007,normal
42026,normal
119992,normal
4214,normal
50854,normal
10718,normal
51108,normal
69600,anomaly
117074,normal
67240,anomaly
74563,normal
19820,normal
76001,normal
120320,anomaly
21001,normal
112509,anomaly
35781,anomaly
27870,normal
48573,anomaly
58583,normal
40780,normal
64152,anomaly
90684,anomaly
91566,normal
16641,normal
122505,anomaly
4979,anomaly
15712,anomaly
18044,normal
114235,normal
54730,normal
18238,anomaly
35898,anomaly
94062,normal
89583,normal
54603,normal
101802,normal
67672,anomaly
117091,anomaly
15650,anomaly
99178,anomaly
66115,anomaly
78855,normal
9614,normal
21958,anomaly
120001,normal
72917,normal
122932,anomaly
20843,normal
10135,anomaly
65547,anomaly
25115,normal
50165,anomaly
7109,anomaly
94101,anomaly
699,normal
77200,anomaly
44146,anomaly
106046,normal
21940,normal
7305,normal
88026,anomaly
83932,anomaly
20937,normal
91959,normal
10626,anomaly
73689,normal
38284,normal
68746,anomaly
6129,normal
124991,anomaly
69379,normal
99267,anomaly
54153,anomaly
13045,normal
95173,anomaly
41699,anomaly
10158,normal
3391,anomaly
78359,anomaly
80238,normal
28646,normal
57359,anomaly
99274,anomaly
10128,normal
108846,normal
33231,normal
35331,normal
101985,normal
91028,anomaly
103137,anomaly
11989,normal
64024,normal
80156,normal
95565,normal
87481,anomaly
40033,anomaly
115388,anomaly
38173,normal
49639,normal
95548,anomaly
114705,anomaly
125877,anomaly
47687,anomaly
15631,anomaly
116708,normal
58302,normal
84221,anomaly
21008,anomaly
275,normal
67495,anomaly
122665,normal
108380,anomaly
2209,anomaly
86042,anomaly
45973,normal
40959,anomaly
59193,anomaly
113267,normal
115578,normal
21828,normal
21655,normal
87012,normal
109685,normal
103310,anomaly
116309,normal
113543,anomaly
88698,anomaly
54016,anomaly
43499,anomaly
73979,anomaly
113377,normal
74999,normal
16315,normal
31600,normal
119502,normal
61398,anomaly
106098,normal
69752,normal
53170,normal
25910,anomaly
103040,normal
110715,normal
60949,anomaly
50786,normal
105978,anomaly
38005,anomaly
81769,normal
12280,anomaly
122801,normal
33099,anomaly
61185,anomaly
124320,anomaly
113276,normal
89659,normal
33856,normal
44604,normal
62526,anomaly
89347,anomaly
66719,normal
47275,normal
22748,normal
122214,anomaly
124691,anomaly
48934,anomaly
83728,normal
22244,normal
57816,normal
121754,normal
9353,anomaly
31180,normal
86028,anomaly
71330,normal
90128,anomaly
49843,normal
72966,anomaly
13544,normal
73157,normal
123293,anomaly
67239,normal
36582,anomaly
38832,anomaly
115849,normal
5976,anomaly
34495,anomaly
107871,normal
52569,normal
64115,normal
89271,normal
27440,normal
18809,normal
83782,anomaly
55100,normal
7054,normal
204,normal
111349,normal
376,normal
15271,normal
61309,normal
56404,anomaly
121273,normal
52343,normal
14125,anomaly
11662,anomaly
42353,normal
64959,normal
6874,normal
47518,normal
52817,anomaly
82713,normal
21420,anomaly
76927,anomaly
67490,anomaly
7668,anomaly
84621,anomaly
104767,normal
59168,normal
113993,normal
8628,anomaly
55462,normal
50930,anomaly
96984,anomaly
78175,anomaly
5128,anomaly
56286,anomaly
11740,anomaly
94406,normal
59527,anomaly
4283,anomaly
18975,normal
15952,normal
52063,anomaly
3366,normal
35617,anomaly
92256,anomaly
51191,anomaly
114656,anomaly
96352,anomaly
119386,anomaly
123219,normal
27832,normal
87879,anomaly
88311,normal
67216,normal
104738,anomaly
124337,normal
70158,anomaly
51825,normal
13847,anomaly
12370,normal
65865,anomaly
93171,normal
82589,anomaly
94580,normal
67679,normal
123759,anomaly
125044,normal
24091,normal
48097,anomaly
48360,normal
59127,normal
120756,normal
38924,normal
26877,normal
11660,normal
25632,anomaly
103108,normal
104757,normal
105808,anomaly
64197,normal
635,normal
20394,normal
58230,normal
73975,normal
62166,normal
111337,normal
109385,anomaly
95021,anomaly
11300,normal
69802,normal
91789,anomaly
57126,normal
47318,normal
35305,normal
5733,anomaly
53792,normal
123174,normal
21867,normal
117547,normal
50377,anomaly
6538,normal
92375,normal
16852,normal
78790,anomaly
17193,normal
63409,normal
122453,normal
119389,normal
23915,anomaly
87348,normal
125222,anomaly
41577,anomaly
12917,anomaly
103347,normal
97159,anomaly
51026,normal
111243,anomaly
61170,normal
121614,anomaly
108487,anomaly
49181,anomaly
75981,normal
25753,normal
2798,anomaly
95052,anomaly
98857,normal
116260,normal
119794,normal
110772,anomaly
32839,normal
111774,normal
84608,normal
67653,normal
78449,anomaly
79556,normal
59435,normal
88587,normal
28181,normal
90284,normal
65457,anomaly
55776,anomaly
47566,normal
18796,anomaly
57237,normal
39428,anomaly
43235,normal
45053,anomaly
113203,anomaly
117931,anomaly
93837,normal
116731,normal
72904,normal
7958,anomaly
67409,normal
32958,anomaly
81698,normal
91505,normal
53345,anomaly
62136,normal
56868,normal
48056,normal
93719,normal
95602,anomaly
101817,anomaly
12696,normal
32293,anomaly
7936,normal
57996,normal
6747,normal
73707,normal
39801,anomaly
77045,anomaly
52757,anomaly
122120,normal
76689,normal
42342,anomaly
51536,anomaly
4617,normal
113403,anomaly
89974,normal
81636,anomaly
38055,anomaly
10357,normal
15738,anomaly
38747,anomaly
38906,normal
118767,normal
64588,normal
109516,normal
85044,anomaly
21137,normal
115121,normal
48279,anomaly
9855,normal
50378,anomaly
2213,normal
71290,anomaly
107624,normal
124791,normal
49113,normal
97524,anomaly
87586,normal
123215,normal
53142,normal
115467,anomaly
23425,anomaly
56026,normal
19983,anomaly
125049,anomaly
116037,normal
118036,anomaly
27817,anomaly
113261,normal
113865,anomaly
75590,normal
90463,anomaly
52476,anomaly
75326,normal
30342,anomaly
92854,normal
32918,normal
91235,normal
8387,anomaly
83901,anomaly
36779,anomaly
34897,normal
55647,anomaly
1693,anomaly
74444,anomaly
30999,normal
103135,normal
30905,normal
117607,normal
31084,anomaly
79070,normal
54877,normal
82244,anomaly
51081,anomaly
35299,normal
67504,anomaly
73862,normal
105959,normal
91209,anomaly
52406,normal
40676,anomaly
52436,normal
49271,anomaly
99947,anomaly
123425,anomaly
66119,anomaly
117727,normal
91809,normal
44939,normal
20835,normal
81519,anomaly
70891,normal
22014,normal
56613,normal
95372,anomaly
76443,normal
37426,normal
25191,anomaly
7658,anomaly
90583,anomaly
79641,anomaly
89602,normal
86658,normal
116428,normal
43970,normal
30762,normal
4146,anomaly
62393,normal
28836,normal
74063,anomaly
26805,normal
122969,normal
62662,normal
116844,anomaly
92347,anomaly
71655,anomaly
44338,normal
76662,normal
104486,anomaly
36379,normal
76065,normal
114990,anomaly
97044,anomaly
62754,normal
98637,normal
70282,anomaly
84578,anomaly
108865,normal
24831,anomaly
63634,normal
13473,anomaly
60198,normal
111734,normal
111267,anomaly
19860,normal
74234,normal
118870,normal
29289,anomaly
39900,anomaly
1345,normal
84168,anomaly
61818,normal
49280,normal
5009,anomaly
64690,normal
88122,normal
114570,anomaly
116770,normal
14914,normal
10709,anomaly
24107,normal
119892,normal
5306,normal
120167,normal
94193,normal
121313,anomaly
34888,anomaly
91403,normal
48915,anomaly
60909,anomaly
47851,normal
74282,anomaly
15121,anomaly
47238,normal
118440,normal
92543,anomaly
14898,normal
116038,anomaly
70623,anomaly
4459,anomaly
31626,normal
64156,anomaly
82206,normal
16157,normal
71729,normal
87136,normal
34761,anomaly
72674,anomaly
124322,normal
108441,normal
62885,anomaly
72410,anomaly
122463,normal
78526,normal
119970,normal
65202,anomaly
54090,anomaly
80920,normal
91330,anomaly
22539,normal
18339,anomaly
52369,normal
11476,anomaly
95523,anomaly
108813,anomaly
50175,anomaly
4937,anomaly
45967,anomaly
28603,anomaly
98488,normal
110065,normal
36247,anomaly
66021,normal
69030,normal
18202,normal
110257,anomaly
63706,anomaly
81987,normal
52885,normal
50360,normal
53955,anomaly
85747,normal
93134,anomaly
109363,normal
13998,normal
80472,anomaly
115659,normal
80964,anomaly
125767,anomaly
119948,anomaly
24535,anomaly
72873,normal
54770,anomaly
88701,normal
71337,normal
112532,anomaly
143,normal
78658,normal
26939,normal
72078,anomaly
55840,normal
79127,normal
59665,anomaly
26670,anomaly
43635,normal
26738,anomaly
81964,normal
89018,anomaly
39806,normal
1172,normal
53172,normal
39488,anomaly
35310,anomaly
99434,normal
31086,normal
40636,anomaly
38807,anomaly
68097,normal
12710,normal
109595,normal
2116,anomaly
8555,anomaly
40555,anomaly
104614,normal
1294,normal
50794,anomaly
7122,normal
46548,anomaly
86212,normal
19780,anomaly
99188,anomaly
71263,anomaly
108810,normal
74925,normal
78964,normal
24273,normal
13660,normal
72911,anomaly
8732,anomaly
51350,anomaly
94316,anomaly
95874,anomaly
4273,normal
8975,normal
77630,anomaly
19188,normal
24039,normal
30199,normal
83158,anomaly
26510,normal
28946,normal
89436,normal
13720,anomaly
67024,anomaly
119996,normal
83647,normal
66015,normal
26132,normal
74976,anomaly
66867,normal
69118,normal
21306,normal
102647,anomaly
74370,anomaly
66599,normal
15349,normal
8450,normal
2345,normal
15986,normal
69402,anomaly
84746,normal
86015,anomaly
108288,anomaly
77375,normal
118833,normal
85334,normal
24836,normal
114794,anomaly
18004,normal
11,anomaly
113477,normal
30995,normal
89935,anomaly
65925,anomaly
12971,normal
3033,normal
7817,normal
76010,normal
10059,normal
113378,normal
87143,normal
51907,normal
79806,normal
109971,normal
73649,anomaly
49643,anomaly
51015,normal
60490,normal
94624,anomaly
113554,anomaly
48938,normal
88039,normal
111060,normal
84557,normal
116834,anomaly
19679,normal
122486,anomaly
20162,normal
71782,normal
87462,anomaly
103018,normal
59116,normal
35719,normal
98741,normal
61333,anomaly
89214,normal
124290,normal
96723,anomaly
86362,normal
110922,normal
62942,anomaly
47792,normal
117036,normal
78656,normal
60147,normal
106788,normal
82980,anomaly
31444,anomaly
119450,normal
54389,normal
32453,normal
37529,normal
73134,normal
117070,anomaly
104872,anomaly
13913,normal
31583,normal
32338,normal
109742,normal
57394,anomaly
8431,anomaly
36190,anomaly
111304,anomaly
53927,normal
17894,normal
67659,anomaly
15942,anomaly
77270,anomaly
120267,anomaly
52937,anomaly
71721,anomaly
96503,normal
116312,anomaly
86376,anomaly
104535,anomaly
14143,normal
31034,normal
46963,anomaly
108666,anomaly
110881,anomaly
97147,normal
89463,normal
76635,anomaly
107053,anomaly
125062,anomaly
32752,anomaly
89801,anomaly
120740,anomaly
61669,normal
35207,normal
27849,anomaly
14417,anomaly
12394,normal
48071,normal
92557,anomaly
67915,normal
36599,anomaly
11018,normal
88394,normal
109718,normal
116035,normal
95702,normal
85424,anomaly
78465,normal
125305,anomaly
54582,normal
54980,anomaly
98977,normal
75601,normal
119524,anomaly
69522,normal
10827,normal
18049,normal
71165,anomaly
15908,anomaly
26265,anomaly
43926,anomaly
9006,normal
55138,normal
20018,anomaly
77950,normal
98023,normal
11220,anomaly
92824,normal
63279,normal
9056,anomaly
107675,anomaly
122944,anomaly
33256,normal
26798,normal
99796,anomaly
17753,normal
25736,anomaly
117987,normal
89842,normal
34377,anomaly
75649,anomaly
82422,anomaly
117202,normal
111003,anomaly
74669,normal
104391,anomaly
77822,normal
65674,anomaly
114719,anomaly
30291,normal
41069,normal
125417,anomaly
90460,normal
50759,anomaly
76889,anomaly
69943,normal
34359,anomaly
20867,anomaly
121963,anomaly
9324,normal
27398,normal
16313,anomaly
105002,anomaly
108246,anomaly
10146,normal
109328,normal
108207,anomaly
97604,normal
104781,anomaly
43281,anomaly
64631,anomaly
27066,normal
115298,normal
54181,normal
91381,anomaly
50911,normal
94393,normal
18714,normal
11196,anomaly
84508,anomaly
117589,normal
41739,normal
80581,normal
97742,normal
94630,normal
60791,normal
71288,normal
102026,normal
55142,anomaly
80247,normal
42271,anomaly
111289,anomaly
46783,anomaly
42790,anomaly
78152,normal
39064,normal
53613,normal
23187,normal
12249,normal
93918,normal
2215,normal
105817,normal
54503,normal
20517,normal
84211,anomaly
109312,anomaly
16176,normal
79119,normal
14309,anomaly
34198,normal
21014,normal
104249,normal
123413,normal
64885,normal
60816,anomaly
110836,normal
73205,anomaly
29307,normal
49739,anomaly
125888,normal
32598,normal
93465,anomaly
80889,anomaly
73790,normal
1615,normal
44107,anomaly
84382,normal
9433,normal
113462,anomaly
105336,anomaly
113761,normal
33835,normal
56745,anomaly
29171,normal
33460,normal
118505,anomaly
66962,anomaly
83836,normal
50187,normal
60971,anomaly
4671,normal
31046,anomaly
44228,normal
102407,anomaly
109259,normal
66401,anomaly
9905,anomaly
26794,normal
56040,anomaly
82449,anomaly
49690,normal
40657,anomaly
124869,anomaly
37357,normal
88476,anomaly
418,anomaly
58425,anomaly
35165,normal
35341,anomaly
87024,anomaly
105252,anomaly
106021,anomaly
5331,anomaly
26039,anomaly
32381,anomaly
110224,normal
111002,anomaly
103238,anomaly
43064,normal
65506,anomaly
60835,normal
117779,normal
104530,normal
46954,normal
52644,normal
70558,normal
90500,anomaly
36968,normal
95313,normal
15665,anomaly
64880,anomaly
121469,anomaly
72979,normal
77401,anomaly
69871,anomaly
67970,anomaly
35239,anomaly
22368,anomaly
125527,normal
51689,anomaly
53246,normal
102522,normal
97513,anomaly
35132,normal
11238,anomaly
47622,normal
133,normal
47,normal
101920,normal
15705,normal
1930,normal
20792,normal
73429,anomaly
105557,anomaly
106235,anomaly
102844,anomaly
1797,normal
57626,anomaly
2160,normal
101109,normal
18609,normal
103813,normal
117288,anomaly
80706,anomaly
79550,anomaly
109680,normal
3703,normal
108300,anomaly
73756,anomaly
106322,anomaly
17827,anomaly
114023,anomaly
22856,normal
46611,normal
98523,anomaly
72080,normal
91925,normal
56021,anomaly
54259,anomaly
46569,normal
119535,anomaly
14547,anomaly
53418,normal
16161,normal
5235,anomaly
18558,anomaly
102595,anomaly
84964,normal
2816,normal
31330,anomaly
24568,anomaly
8201,anomaly
49942,normal
16881,anomaly
100409,normal
14764,anomaly
82150,normal
28277,anomaly
63638,normal
34679,normal
72183,normal
24721,normal
12059,normal
47305,anomaly
1423,normal
7745,normal
49494,anomaly
125644,normal
112243,normal
124896,normal
104250,normal
24140,normal
69846,anomaly
124571,anomaly
110934,normal
114535,anomaly
112559,anomaly
17235,normal
73874,anomaly
82029,anomaly
14687,anomaly
77572,normal
12340,normal
109163,anomaly
105159,normal
11900,normal
122930,anomaly
31033,anomaly
37098,anomaly
44851,anomaly
40837,normal
120231,anomaly
72693,normal
81491,normal
16919,normal
100054,normal
66145,normal
63041,anomaly
48099,anomaly
105485,anomaly
289,anomaly
79994,normal
54585,anomaly
36183,normal
68346,normal
24793,anomaly
87768,normal
80016,normal
87915,anomaly
95510,normal
24148,normal
6190,anomaly
34797,anomaly
112588,anomaly
51684,normal
48686,anomaly
36243,anomaly
12747,normal
121136,anomaly
81390,normal
85539,normal
118556,normal
38755,normal
1687,anomaly
85460,normal
54422,anomaly
38195,normal
88240,normal
125224,normal
45207,normal
119424,normal
102562,anomaly
109692,normal
57902,normal
105692,normal
22562,anomaly
12390,anomaly
83056,normal
44934,anomaly
56462,normal
75474,normal
53525,anomaly
61755,anomaly
69010,normal
1421,normal
45359,anomaly
54101,normal
91746,anomaly
67538,anomaly
114423,normal
43933,normal
4342,anomaly
83723,normal
98630,normal
107297,normal
56584,anomaly
45940,anomaly
123350,normal
59911,normal
92747,anomaly
74784,normal
52095,normal
25423,normal
104902,normal
112027,anomaly
11166,normal
4857,normal
120445,normal
56145,anomaly
125019,normal
119164,anomaly
113036,anomaly
75397,normal
110263,normal
105697,anomaly
26747,normal
107886,anomaly
39679,anomaly
83995,anomaly
9173,anomaly
40907,normal
65743,anomaly
97477,normal
112040,anomaly
2374,anomaly
109650,anomaly
77699,normal
8321,normal
105774,anomaly
86081,anomaly
73068,normal
117542,anomaly
25062,anomaly
122737,anomaly
65463,normal
85308,normal
39967,normal
53631,anomaly
36449,anomaly
29339,anomaly
41592,normal
2646,anomaly
96975,normal
87082,anomaly
38690,anomaly
99050,normal
125350,normal
48996,anomaly
10875,normal
24652,normal
33565,normal
96116,normal
87716,anomaly
99271,normal
116995,anomaly
81669,normal
49664,anomaly
37293,anomaly
96222,normal
47150,anomaly
94690,anomaly
73824,normal
21640,anomaly
57420,anomaly
44497,normal
75311,anomaly
36949,normal
78718,anomaly
66278,anomaly
5696,normal
80176,normal
59257,anomaly
91914,normal
46827,normal
123004,normal
100346,normal
39833,anomaly
95135,normal
60059,normal
26089,anomaly
28039,normal
32917,normal
89246,anomaly
101116,normal
70888,normal
14835,normal
75552,normal
107160,anomaly
76128,normal
40440,anomaly
13857,normal
11284,anomaly
47974,normal
84613,normal
59057,anomaly
124365,anomaly
30646,normal
77515,normal
26631,normal
16582,anomaly
96087,normal
28507,anomaly
122432,normal
91256,anomaly
104138,normal
14935,normal
11879,normal
10390,anomaly
56171,normal
95138,anomaly
41227,anomaly
47531,anomaly
96464,anomaly
119476,normal
21547,normal
18950,normal
125356,anomaly
18673,anomaly
79867,normal
57778,normal
14584,normal
69065,normal
63180,normal
75814,normal
26057,normal
30507,anomaly
73974,anomaly
118512,anomaly
55590,normal
86877,normal
24267,normal
103639,normal
67129,normal
94964,anomaly
105077,normal
30439,anomaly
103532,anomaly
37621,normal
69966,normal
73854,anomaly
51754,normal
6703,anomaly
54785,normal
21065,anomaly
110785,normal
94309,anomaly
44906,normal
79419,anomaly
62076,normal
109492,anomaly
3539,normal
33984,normal
92670,normal
68107,normal
19961,normal
63903,normal
61473,anomaly
114982,normal
43101,normal
68826,normal
107992,normal
120458,normal
62629,normal
62480,anomaly
16875,normal
13920,normal
89725,normal
58723,anomaly
123130,anomaly
79644,normal
40994,anomaly
11506,anomaly
90551,anomaly
53017,normal
51973,anomaly
106590,normal
61832,normal
22264,normal
114750,normal
78826,anomaly
113440,anomaly
8809,normal
109073,normal
523,normal
4317,anomaly
84020,normal
52943,normal
123455,anomaly
51417,anomaly
68436,normal
54284,normal
547,anomaly
29234,anomaly
70945,normal
55414,anomaly
26359,anomaly
117699,normal
25929,normal
70195,normal
73101,anomaly
13871,anomaly
79773,anomaly
81076,anomaly
53377,normal
75261,anomaly
64542,normal
101825,anomaly
88332,normal
122242,normal
83387,normal
84781,normal
35828,anomaly
15836,anomaly
65858,normal
83289,anomaly
5294,normal
36496,anomaly
90603,normal
